Cliente,Estado,Duración
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
Marcela Cattaneo,Finalizado,15 minutos
